,id,season_id,home_team,visiting_team,game_number,attendance,location,date_played,home_team_name,visiting_team_name,location_name
10,220,8,1,9,11,3516,28,2025-12-03,Boston Fleet,Vancouver Goldeneyes,Agganis Arena
15,225,8,1,2,16,5338,28,2025-12-07,Boston Fleet,Minnesota Frost,Agganis Arena
17,227,8,6,3,18,10438,32,2025-12-17,Toronto Sceptres,Montréal Victoire,
23,233,8,2,5,24,7238,33,2025-12-21,Minnesota Frost,Ottawa Charge,
28,238,8,3,6,29,18107,15,2025-12-27,Montréal Victoire,Toronto Sceptres,
29,239,8,9,2,30,10264,27,2025-12-27,Vancouver Goldeneyes,Minnesota Frost,
30,240,8,4,8,31,8514,34,2025-12-28,New York Sirens,Seattle Torrent,
35,245,8,6,8,36,16012,35,2026-01-03,Toronto Sceptres,Seattle Torrent,
36,246,8,1,9,37,9624,9,2026-01-03,Boston Fleet,Vancouver Goldeneyes,
40,250,8,1,8,41,6003,28,2026-01-07,Boston Fleet,Seattle Torrent,Agganis Arena
41,251,8,1,5,42,10452,32,2026-01-11,Boston Fleet,Ottawa Charge,
43,253,8,3,9,44,14624,19,2026-01-11,Montréal Victoire,Vancouver Goldeneyes,
47,257,8,6,9,48,17856,13,2026-01-17,Toronto Sceptres,Vancouver Goldeneyes,
48,258,8,4,3,49,17228,36,2026-01-18,New York Sirens,Montréal Victoire,
56,266,8,8,9,57,11612,23,2026-01-25,Seattle Torrent,Vancouver Goldeneyes,Ball Arena
72,282,8,5,3,73,17114,20,2026-04-03,Ottawa Charge,Montréal Victoire,Canadian Tire Centre
78,288,8,2,4,79,15512,23,2026-03-15,Minnesota Frost,New York Sirens,Ball Arena
79,289,8,1,6,80,6095,28,2026-03-17,Boston Fleet,Toronto Sceptres,Agganis Arena
85,295,8,5,3,86,15225,37,2026-03-22,Ottawa Charge,Montréal Victoire,
88,298,8,8,4,89,10006,33,2026-03-25,Seattle Torrent,New York Sirens,
90,300,8,3,4,91,15938,9,2026-03-28,Montréal Victoire,New York Sirens,
96,306,8,5,6,97,16150,38,2026-04-01,Ottawa Charge,Toronto Sceptres,
98,308,8,4,8,99,18006,40,2026-04-04,New York Sirens,Seattle Torrent,
100,310,8,9,1,101,10794,27,2026-04-07,Vancouver Goldeneyes,Boston Fleet,
104,314,8,1,3,105,17850,39,2026-04-11,Boston Fleet,Montréal Victoire,
